id,label,hemisphere,cortical,scale
1,lateralorbitofrontal,right,cortical,scale033
2,parsorbitalis,right,cortical,scale033
3,frontalpole,right,cortical,scale033
4,medialorbitofrontal,right,cortical,scale033
5,parstriangularis,right,cortical,scale033
6,parsopercularis,right,cortical,scale033
7,rostralmiddlefrontal,right,cortical,scale033
8,superiorfrontal,right,cortical,scale033
9,caudalmiddlefrontal,right,cortical,scale033
10,precentral,right,cortical,scale033
11,paracentral,right,cortical,scale033
12,rostralanteriorcingulate,right,cortical,scale033
13,caudalanteriorcingulate,right,cortical,scale033
14,posteriorcingulate,right,cortical,scale033
15,isthmuscingulate,right,cortical,scale033
16,postcentral,right,cortical,scale033
17,supramarginal,right,cortical,scale033
18,superiorparietal,right,cortical,scale033
19,inferiorparietal,right,cortical,scale033
20,precuneus,right,cortical,scale033
21,cuneus,right,cortical,scale033
22,pericalcarine,right,cortical,scale033
23,lateraloccipital,right,cortical,scale033
24,lingual,right,cortical,scale033
25,fusiform,right,cortical,scale033
26,parahippocampal,right,cortical,scale033
27,entorhinal,right,cortical,scale033
28,temporalpole,right,cortical,scale033
29,inferiortemporal,right,cortical,scale033
30,middletemporal,right,cortical,scale033
31,bankssts,right,cortical,scale033
32,superiortemporal,right,cortical,scale033
33,transversetemporal,right,cortical,scale033
34,insula,right,cortical,scale033
35,thalamusproper,right,subcortical,scale033
36,caudate,right,subcortical,scale033
37,putamen,right,subcortical,scale033
38,pallidum,right,subcortical,scale033
39,accumbensarea,right,subcortical,scale033
40,hippocampus,right,subcortical,scale033
41,amygdala,right,subcortical,scale033
42,lateralorbitofrontal,left,cortical,scale033
43,parsorbitalis,left,cortical,scale033
44,frontalpole,left,cortical,scale033
45,medialorbitofrontal,left,cortical,scale033
46,parstriangularis,left,cortical,scale033
47,parsopercularis,left,cortical,scale033
48,rostralmiddlefrontal,left,cortical,scale033
49,superiorfrontal,left,cortical,scale033
50,caudalmiddlefrontal,left,cortical,scale033
51,precentral,left,cortical,scale033
52,paracentral,left,cortical,scale033
53,rostralanteriorcingulate,left,cortical,scale033
54,caudalanteriorcingulate,left,cortical,scale033
55,posteriorcingulate,left,cortical,scale033
56,isthmuscingulate,left,cortical,scale033
57,postcentral,left,cortical,scale033
58,supramarginal,left,cortical,scale033
59,superiorparietal,left,cortical,scale033
60,inferiorparietal,left,cortical,scale033
61,precuneus,left,cortical,scale033
62,cuneus,left,cortical,scale033
63,pericalcarine,left,cortical,scale033
64,lateraloccipital,left,cortical,scale033
65,lingual,left,cortical,scale033
66,fusiform,left,cortical,scale033
67,parahippocampal,left,cortical,scale033
68,entorhinal,left,cortical,scale033
69,temporalpole,left,cortical,scale033
70,inferiortemporal,left,cortical,scale033
71,middletemporal,left,cortical,scale033
72,bankssts,left,cortical,scale033
73,superiortemporal,left,cortical,scale033
74,transversetemporal,left,cortical,scale033
75,insula,left,cortical,scale033
76,thalamusproper,left,subcortical,scale033
77,caudate,left,subcortical,scale033
78,putamen,left,subcortical,scale033
79,pallidum,left,subcortical,scale033
80,accumbensarea,left,subcortical,scale033
81,hippocampus,left,subcortical,scale033
82,amygdala,left,subcortical,scale033
83,brainstem,left,subcortical,scale033
